year,best,capital_wins,capital_appearances,capital_wpg,demographic_wins,demographic_appearances,demographic_wpg,leverage_wins,leverage_appearances,leverage_wpg,brrr_wins,brrr_appearances,brrr_wpg,value_add_wins,value_add_appearances,value_add_wpg,yield_wins,yield_appearances,yield_wpg
1984,capital,12,20,62.0,0,20,0.0,4,20,18.0,2,20,9.0,10,20,50.0,11,20,57.0
1985,value_add,11,20,57.0,4,20,20.0,0,20,0.0,7,20,33.0,14,20,71.0,4,20,20.0
1986,capital,13,20,67.0,10,20,50.0,4,20,20.0,2,20,8.0,6,20,29.0,13,20,67.0
1987,yield,12,20,60.0,4,20,20.0,5,20,27.0,4,20,20.0,11,20,57.0,20,20,100.0
1988,capital,18,20,88.0,8,20,38.0,13,20,67.0,0,20,0.0,7,20,36.0,11,20,53.0
1989,yield,13,20,67.0,3,20,17.0,13,20,67.0,3,20,17.0,5,20,27.0,14,20,70.0
1990,demographic,6,20,29.0,13,20,67.0,4,20,18.0,4,20,18.0,6,20,29.0,8,20,42.0
1991,demographic,0,20,0.0,15,20,73.0,0,20,0.0,5,20,25.0,1,20,7.0,10,20,50.0
1992,value_add,4,20,18.0,9,20,43.0,0,20,0.0,2,20,12.0,10,20,50.0,5,20,25.0
1993,brrr,2,20,9.0,4,20,18.0,0,20,0.0,6,20,30.0,6,20,30.0,3,20,14.0
1994,value_add,0,20,0.0,4,20,20.0,0,20,0.0,8,20,38.0,16,20,78.0,0,20,0.0
1995,brrr,2,20,11.0,2,20,12.0,0,20,0.0,17,20,83.0,5,20,27.0,9,20,44.0
1996,value_add,0,20,0.0,3,20,17.0,0,20,0.0,12,20,60.0,13,20,64.0,7,20,33.0
1997,demographic,0,20,0.0,9,20,46.0,0,20,0.0,3,20,15.0,5,20,25.0,8,20,40.0
1998,brrr,0,20,0.0,8,20,40.0,0,20,0.0,11,20,56.0,2,20,11.0,8,20,38.0
1999,brrr,0,20,0.0,4,20,20.0,0,20,0.0,10,20,50.0,5,20,27.0,4,20,22.0
2000,demographic,3,20,14.0,15,20,75.0,11,20,57.0,11,20,55.0,5,20,27.0,2,20,12.0
2001,capital,20,20,100.0,10,20,50.0,17,20,83.0,5,20,25.0,2,20,9.0,0,20,0.0
2002,capital,18,20,89.0,8,20,40.0,12,20,62.0,4,20,18.0,0,20,0.0,0,20,0.0
2003,capital,20,20,100.0,8,20,40.0,11,20,55.0,3,20,17.0,2,20,10.0,5,20,25.0
2004,capital,18,20,89.0,7,20,33.0,15,20,73.0,0,20,0.0,2,20,9.0,0,20,0.0
2005,capital,20,20,100.0,10,20,50.0,15,20,73.0,0,20,0.0,2,20,10.0,0,20,0.0
2006,leverage,15,20,75.0,7,20,33.0,16,20,78.0,3,20,13.0,0,20,0.0,2,20,10.0
2007,capital,18,20,88.0,7,20,33.0,16,20,78.0,0,20,0.0,0,20,0.0,6,20,29.0
2008,capital,20,20,100.0,12,20,60.0,10,20,50.0,0,20,0.0,0,20,0.0,0,20,0.0
2009,capital,20,20,100.0,12,20,60.0,9,20,45.0,2,20,9.0,0,20,0.0,0,20,0.0
2010,capital,20,20,100.0,16,20,80.0,15,20,75.0,6,20,29.0,0,20,0.0,0,20,0.0
2011,capital,20,20,100.0,10,20,50.0,14,20,71.0,5,20,25.0,2,20,11.0,0,20,0.0
2012,capital,20,20,100.0,13,20,67.0,15,20,73.0,11,20,54.0,4,20,20.0,0,20,0.0
2013,capital,20,20,100.0,12,20,60.0,17,20,86.0,8,20,40.0,2,20,8.0,0,20,0.0
2014,capital,20,20,100.0,15,20,75.0,15,20,75.0,5,20,25.0,3,20,14.0,0,20,0.0
