game,tick,actor_id,name,strategy,n_props,port_wealth,cash,final_score,risk_cost
1,1,player,You,player,3,598850.0,574987.0,842858.0,16073.0
1,1,ai1,Ms Demi Graphic,demographic,2,147500.0,1347301.0,801782.0,0.0
1,1,ai2,Mr Reid Furbish,brrr,2,302100.0,1169566.0,711790.0,38982.0
1,2,player,You,player,3,623060.0,595958.0,842858.0,16073.0
1,2,ai1,Ms Demi Graphic,demographic,2,146025.0,1374839.0,801782.0,0.0
1,2,ai2,Mr Reid Furbish,brrr,2,315058.0,1201587.0,711790.0,38982.0
1,3,player,You,player,3,606216.0,626257.0,842858.0,16073.0
1,3,ai1,Ms Demi Graphic,demographic,3,215160.0,1316364.0,801782.0,0.0
1,3,ai2,Mr Reid Furbish,brrr,2,303261.0,1229561.0,711790.0,38982.0
1,4,player,You,player,4,600528.0,635106.0,842858.0,16073.0
1,4,ai1,Ms Demi Graphic,demographic,3,172145.0,1321905.0,801782.0,0.0
1,4,ai2,Mr Reid Furbish,brrr,2,276983.0,1232969.0,711790.0,38982.0
1,5,player,You,player,4,540594.0,650918.0,842858.0,16073.0
1,5,ai1,Ms Demi Graphic,demographic,4,163088.0,1294206.0,801782.0,0.0
1,5,ai2,Mr Reid Furbish,brrr,3,274606.0,1197942.0,711790.0,38982.0
1,6,player,You,player,4,566984.0,675478.0,842858.0,16073.0
1,6,ai1,Ms Demi Graphic,demographic,4,156151.0,1312169.0,801782.0,0.0
1,6,ai2,Mr Reid Furbish,brrr,3,262260.0,1218247.0,711790.0,38982.0
1,7,player,You,player,5,603118.0,663957.0,842858.0,16073.0
1,7,ai1,Ms Demi Graphic,demographic,5,188481.0,1275132.0,801782.0,0.0
1,7,ai2,Mr Reid Furbish,brrr,3,251889.0,1237709.0,711790.0,38982.0
1,8,player,You,player,6,649754.0,598343.0,842858.0,16073.0
1,8,ai1,Ms Demi Graphic,demographic,6,298884.0,1130452.0,801782.0,0.0
1,8,ai2,Mr Reid Furbish,brrr,4,301119.0,1179683.0,711790.0,38982.0
1,9,player,You,player,7,663717.0,613129.0,842858.0,16073.0
1,9,ai1,Ms Demi Graphic,demographic,7,320182.0,1114569.0,801782.0,0.0
1,9,ai2,Mr Reid Furbish,brrr,4,314971.0,1199315.0,711790.0,38982.0
1,10,player,You,player,7,642083.0,645407.0,842858.0,16073.0
