game,start_year,start_half,era,winner_name,winner_strat,second_name,second_strat,roster
1,2007,1,The Global Financial Crisis & Austerity,You,player,Ms Demi Graphic,demographic,"brrr,demographic,player"
2,1984,1,Early Thatcher Recovery,Mr Ray Novate,value_add,Mr Reid Furbish,brrr,"brrr,player,value_add"
3,2003,1,Long Boom & The Run-Up to the GFC,You,player,Mr Max Lever,leverage,"leverage,player,yield"
4,2014,2,"Sustained Growth, Brexit & COVID",Ms Demi Graphic,demographic,Ms Di Vidend,yield,"demographic,player,yield"
5,1988,1,Late Thatcher Boom,Ms Di Vidend,yield,Mr Hugh Price,capital,"capital,player,yield"
6,2007,1,The Global Financial Crisis & Austerity,You,player,Ms Demi Graphic,demographic,"brrr,demographic,player"
7,1987,2,Late Thatcher Boom,Ms Demi Graphic,demographic,Ms Di Vidend,yield,"demographic,player,yield"
8,1990,1,Boom & Bust — The 1989 Crash,Ms Di Vidend,yield,Mr Ray Novate,value_add,"player,value_add,yield"
9,2003,2,Long Boom & The Run-Up to the GFC,You,player,Mr Ray Novate,value_add,"brrr,player,value_add"
10,2000,1,New Labour Boom — Part I,You,player,Mr Hugh Price,capital,"capital,player,value_add"
11,2012,2,Post-GFC Long Recovery,Ms Demi Graphic,demographic,Mr Reid Furbish,brrr,"brrr,demographic,player"
12,1991,1,Boom & Bust — The 1989 Crash,Ms Di Vidend,yield,You,player,"demographic,player,yield"
13,1985,2,Early Thatcher Recovery,Mr Hugh Price,capital,Ms Demi Graphic,demographic,"capital,demographic,player"
14,1996,1,Mid-Nineties Recovery & Cool Britannia,Mr Reid Furbish,brrr,Ms Di Vidend,yield,"brrr,player,yield"
15,2011,2,Post-GFC Long Recovery,Mr Hugh Price,capital,You,player,"capital,leverage,player"
16,2006,1,Long Boom & The Run-Up to the GFC,Mr Hugh Price,capital,You,player,"capital,player,value_add"
17,2005,1,Long Boom & The Run-Up to the GFC,Mr Max Lever,leverage,You,player,"brrr,leverage,player"
18,2008,1,The Global Financial Crisis & Austerity,You,player,Mr Reid Furbish,brrr,"brrr,player,value_add"
19,1996,1,Mid-Nineties Recovery & Cool Britannia,Mr Reid Furbish,brrr,You,player,"brrr,player,value_add"
20,1989,1,Boom & Bust — The 1989 Crash,Mr Hugh Price,capital,You,player,"capital,demographic,player"
21,2003,2,Long Boom & The Run-Up to the GFC,Mr Max Lever,leverage,You,player,"leverage,player,value_add"
22,2001,2,Long Boom & The Run-Up to the GFC,Mr Max Lever,leverage,Mr Hugh Price,capital,"capital,leverage,player"
23,1993,2,Mid-Nineties Recovery & Cool Britannia,Ms Demi Graphic,demographic,You,player,"demographic,leverage,player"
24,1993,2,Mid-Nineties Recovery & Cool Britannia,Mr Hugh Price,capital,You,player,"capital,demographic,player"
25,1996,2,Mid-Nineties Recovery & Cool Britannia,You,player,Ms Di Vidend,yield,"capital,player,yield"
26,2001,1,Long Boom & The Run-Up to the GFC,Mr Max Lever,leverage,Mr Hugh Price,capital,"capital,leverage,player"
27,2002,1,Long Boom & The Run-Up to the GFC,Mr Hugh Price,capital,You,player,"capital,demographic,player"
28,2014,2,"Sustained Growth, Brexit & COVID",Mr Max Lever,leverage,You,player,"leverage,player,value_add"
29,2006,2,Long Boom & The Run-Up to the GFC,Mr Max Lever,leverage,You,player,"leverage,player,value_add"
30,2007,2,The Global Financial Crisis & Austerity,Mr Hugh Price,capital,You,player,"brrr,capital,player"
